Tables,channel_id,followers_gain,last_streamed_game,channel_country,stream_language,partnership_status,channel_type,hours_watched,airtime_in_m,platform,channel_name,peak_viewers,average_viewers,live_views
81,26301881,932,World of Warcraft,US,en,partner,Male,439223,26.1,twitch,sodapoppin,26436,16840,1138474.0
82,59635827,12477,Overwatch 2,US,en,partner,Male,433085,52.2,twitch,supertf,20766,8303,926470.0
83,86277097,10666,Dota 2,RU,ru,partner,Male,424531,23.4,twitch,buster,36795,18130,2092600.0
84,20992865,4922,Dota 2,NL,en,partner,Male,423359,64.8,twitch,grubby,11108,6539,889211.0
86,59799994,6761,Grand Theft Auto V,BR,pt,partner,Male,420424,56.1,twitch,gabepeixe,13780,7497,4114270.0
87,23220337,12664,Overwatch 2,US,en,partner,Male,412029,65.8,twitch,emongg,17823,6267,737626.0
88,49839696,3380,Grand Theft Auto V,TH,th,partner,Male,409455,45.8,twitch,rebirthztv,20190,8951,1810601.0
89,445529741,15775,VALORANT,CA,en,partner,Female,405050,38.7,twitch,kyedae,26194,10476,1191533.0
92,49045679,1752,Just Chatting,KR,ko,partner,Male,400390,24.8,twitch,woowakgood,32570,16178,1310624.0
94,40488774,5653,Dota 2,RU,ru,partner,Male,391948,39.2,twitch,stray228,15107,9987,
97,121510236,13025,Minecraft,CO,es,partner,Male,382602,13.8,twitch,juansguarnizo,43140,27659,1740764.0
98,30857876,8404,Pokemon Community Game,ES,es,partner,Male,375314,52.9,twitch,folagorlives,14609,7094,1569656.0
99,22484632,498,Terraria,SE,en,partner,Male,371915,36.2,twitch,forsen,19641,10284,848414.0
