,Rank_GrossEarning,Username,channel_id,GrossEarning,Tables,followers_gain,last_streamed_game,channel_country,stream_language,partnership_status,channel_type,hours_watched,airtime_in_m,platform,channel_name,peak_viewers,average_viewers,live_views
4,9.0,auronplay,459331509.0,3053341.54,11,34144,Minecraft,ES,es,partner,Male,1776672,22.9,twitch,auronplay,108916,77528,7104164.0
9,18.0,ibai,83232866.0,2314485.53,23,20070,League of Legends,ES,es,partner,Male,1031602,28.8,twitch,ibai,94284,35779,3922072.0
17,35.0,Rubius,39276140.0,1764965.15,48,24072,Minecraft,ES,es,partner,Male,710421,27.7,twitch,rubius,45631,25679,2862065.0
26,78.0,juansguarnizo,121510236.0,1034709.27,97,13025,Minecraft,CO,es,partner,Male,382602,13.8,twitch,juansguarnizo,43140,27659,1740764.0
28,96.0,alexelcapo,36138196.0,911427.22,71,6274,Pokemon Community Game,ES,es,partner,Male,478825,27.7,twitch,alexelcapo,28974,17308,1652225.0
33,142.0,IlloJuan,90075649.0,717497.94,9,25395,Pokemon Community Game,ES,es,partner,Male,1883237,30.8,twitch,illojuan,85495,61079,5319594.0
